Variable,Type,NumUniqueValues,Variable_Type,Positive Above 0,Negative Above 0,Positive Mean above 0,Negative Mean above 0
onc_latest_t_tis,numerical,2,NA,0,1,NaN,1
onc_latest_t_tis_dcis,numerical,2,NA,0,5,NaN,1
onc_latest_t_tis_lcis,numerical,2,NA,0,1,NaN,1
onc_psa1,numerical,860,NA,88,1104,112.89272727272727,213.09892960144927
onc_psa10,numerical,78,NA,6,88,36.022099999999995,41.922577272727274
onc_psa11,numerical,75,NA,6,74,34.5961,33.15976081081081
onc_psa12,numerical,60,NA,5,59,31.92242,31.266472881355934
onc_psa13,numerical,48,NA,4,46,17.342125,20.073017391304347
onc_psa14,numerical,40,NA,4,36,10.16545,26.301744444444445
onc_psa15,numerical,32,NA,4,29,11.86945,28.07501724137931
onc_psa16,numerical,24,NA,3,20,23.101566666666663,37.38595
onc_psa17,numerical,20,NA,3,17,5.521766666666666,97.268
onc_psa18,numerical,14,NA,2,11,9.36355,109.25090909090909
onc_psa19,numerical,8,NA,2,5,6.361149999999999,22.61
onc_psa2,numerical,477,NA,44,573,46.375502272727275,96.69251984293194
onc_psa20,numerical,8,NA,2,5,4.8094,31.264
onc_psa21,numerical,6,NA,2,3,3.55755,9.116666666666667
onc_psa22,numerical,6,NA,2,3,2.7053000000000003,9.8
onc_psa23,numerical,5,NA,2,2,1.8544500000000002,2.4
onc_psa24,numerical,5,NA,2,2,1.95335,5.16
onc_psa25,numerical,4,NA,2,1,1.2532,10.37
onc_psa3,numerical,350,NA,35,418,54.077151428571426,71.28431626794259
onc_psa4,numerical,284,NA,27,337,22.47450740740741,72.28743857566765
onc_psa5,numerical,236,NA,23,277,29.39796956521739,73.96481263537906
onc_psa6,numerical,200,NA,20,228,130.93935,77.19111403508772
onc_psa7,numerical,167,NA,14,188,62.21252142857143,48.256093085106386
onc_psa8,numerical,135,NA,12,153,57.743024999999996,87.3357385620915
onc_psa9,numerical,102,NA,9,108,39.823966666666664,32.527428703703706
onc_psa_date10_index_dd,numerical,80,Date_Difference,6,88,333.8333333333333,445.82954545454544
onc_psa_date11_index_dd,numerical,75,Date_Difference,6,74,381.3333333333333,481.9054054054054
onc_psa_date12_index_dd,numerical,60,Date_Difference,5,59,331.6,497.40677966101697
onc_psa_date13_index_dd,numerical,45,Date_Difference,4,46,382.25,511.2391304347826
onc_psa_date14_index_dd,numerical,37,Date_Difference,4,36,439.75,526.2777777777778
onc_psa_date15_index_dd,numerical,32,Date_Difference,4,29,496.5,556.1034482758621
onc_psa_date16_index_dd,numerical,23,Date_Difference,3,20,470.6666666666667,547.45
onc_psa_date17_index_dd,numerical,21,Date_Difference,3,17,521.3333333333334,578.8823529411765
onc_psa_date18_index_dd,numerical,14,Date_Difference,2,11,458.5,573.0909090909091
onc_psa_date19_index_dd,numerical,8,Date_Difference,2,5,487.5,530.8
onc_psa_date1_index_dd,numerical,228,Date_Difference,54,738,93.55555555555556,75.37533875338754
onc_psa_date20_index_dd,numerical,7,Date_Difference,2,5,512,556.4
onc_psa_date21_index_dd,numerical,6,Date_Difference,2,3,540,624
onc_psa_date22_index_dd,numerical,6,Date_Difference,2,3,573.5,644.6666666666666
onc_psa_date23_index_dd,numerical,5,Date_Difference,2,2,601.5,664
onc_psa_date24_index_dd,numerical,5,Date_Difference,2,2,629.5,675
onc_psa_date25_index_dd,numerical,4,Date_Difference,2,1,659,697
onc_psa_date2_index_dd,numerical,252,Date_Difference,42,557,137.47619047619048,132.44165170556553
onc_psa_date3_index_dd,numerical,265,Date_Difference,35,418,207.28571428571428,189.65071770334927
onc_psa_date4_index_dd,numerical,251,Date_Difference,27,337,237.44444444444446,240.72700296735906
onc_psa_date5_index_dd,numerical,218,Date_Difference,23,277,257.60869565217394,283.99638989169677
onc_psa_date6_index_dd,numerical,197,Date_Difference,20,228,304.1,326.85087719298247
onc_psa_date7_index_dd,numerical,168,Date_Difference,14,189,319.42857142857144,376.23809523809524
onc_psa_date8_index_dd,numerical,137,Date_Difference,12,154,360.8333333333333,412.1233766233766
onc_psa_date9_index_dd,numerical,104,Date_Difference,9,108,367.55555555555554,433.48148148148147
onc_tnm_date_index_dd,numerical,372,Date_Difference,36,732,251.22222222222223,186.70765027322403
onc_total_testo1,numerical,145,NA,26,278,34.54692307692308,111.66111510791367
onc_total_testo10,numerical,4,NA,0,3,NaN,121.66666666666667
onc_total_testo2,numerical,70,NA,9,101,78.27777777777777,134.7580198019802
onc_total_testo3,numerical,45,NA,6,55,88.06666666666666,132.1750909090909
onc_total_testo4,numerical,36,NA,5,38,134.236,105.53421052631579
onc_total_testo5,numerical,26,NA,5,26,80.3,110.46538461538462
onc_total_testo6,numerical,18,NA,4,19,112.5,111.0678947368421
onc_total_testo7,numerical,15,NA,3,13,209,55.42307692307692
onc_total_testo8,numerical,10,NA,0,9,NaN,109.88888888888889
onc_total_testo9,numerical,9,NA,0,8,NaN,174.25
onc_total_testo_date10_index_dd,numerical,4,Date_Difference,0,3,NaN,372
onc_total_testo_date1_index_dd,numerical,161,Date_Difference,20,223,166.4,153.85201793721973
onc_total_testo_date2_index_dd,numerical,95,Date_Difference,8,98,233.75,223.5408163265306
