Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Above0_P,Positive Above0_P,Negative Above0_P,Mean above 0,Positive Mean above 0,Negative Mean above 0,Precision,Above0_Diff,Percentage Mean Difference above 0,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min above 0,Positive P10 above 0,Positive P25 above 0,Positive P50 above 0,Positive P75 above 0,Positive P90 above 0,Positive Max above 0,Negative Min above 0,Negative P10 above 0,Negative P25 above 0,Negative P50 above 0,Negative P75 above 0,Negative P90 above 0,Negative Max above 0
onc_ecog_date10_index_dd,numerical,44,Date_Difference,44,46,5206,0.9912414318354913,46,2,44,0.008758568164508759,0.007246376811594203,0.008842443729903537,298.45652173913044,466.5,290.8181818181818,0.043478260869565216,0.0015960669183093341,0.5886345426734384,0.19273,0.19273,0.19941,0.9514983333333334,NaN,324,352.5,395.25,466.5,537.75,580.4999999999999,609,34,97.30000000000001,140.25,222,438.25,634.8000000000001,699
onc_ecog_date11_index_dd,numerical,37,Date_Difference,37,37,5215,0.9929550647372429,37,1,36,0.007044935262757045,0.0036231884057971015,0.007234726688102894,307.97297297297297,345,306.94444444444446,0.02702702702702703,0.003611538282305792,0.12356784164594604,0.09366,0.09366,0.58136,0.9514983333333334,NaN,345,345,345,345,345,345,345,41,102.5,140.75,251,469.5,581,715
onc_ecog_date12_index_dd,numerical,33,Date_Difference,33,32,5220,0.993907083015994,32,0,32,0.006092916984006093,0,0.006430868167202572,322.5,NaN,322.5,0,0.006430868167202572,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,43,115.2,128.75,275,509.5,661.9,726
onc_ecog_date13_index_dd,numerical,30,Date_Difference,30,29,5223,0.9944782939832445,29,0,29,0.005521706016755522,0,0.005827974276527331,310.6896551724138,NaN,310.6896551724138,0,0.005827974276527331,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,46,112.6,134,294,403,577.9999999999999,718
onc_ecog_date14_index_dd,numerical,28,Date_Difference,28,27,5225,0.9948591012947449,27,0,27,0.005140898705255141,0,0.005426045016077171,310.962962962963,NaN,310.962962962963,0,0.005426045016077171,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,47,115.60000000000001,156.5,272,417.5,589.6000000000001,683
onc_ecog_date15_index_dd,numerical,22,Date_Difference,22,21,5231,0.996001523229246,21,0,21,0.003998476770753999,0,0.0042202572347266884,351.2857142857143,NaN,351.2857142857143,0,0.0042202572347266884,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,48,112,197,361,477,620,690
onc_ecog_date16_index_dd,numerical,16,Date_Difference,16,15,5237,0.9971439451637472,15,0,15,0.0028560548362528563,0,0.0030144694533762056,356.06666666666666,NaN,356.06666666666666,0,0.0030144694533762056,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,93,141.40000000000003,196.5,286,524.5,661,718
onc_ecog_date17_index_dd,numerical,14,Date_Difference,14,14,5238,0.9973343488194973,14,0,14,0.0026656511805026656,0,0.0028135048231511255,350.2857142857143,NaN,350.2857142857143,0,0.0028135048231511255,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,100,145.39999999999998,213.75,293,465,666.1000000000001,697
onc_ecog_date18_index_dd,numerical,14,Date_Difference,14,13,5239,0.9975247524752475,13,0,13,0.0024752475247524753,0,0.002612540192926045,357.6923076923077,NaN,357.6923076923077,0,0.002612540192926045,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,106,159.8,238,300,424,641,695
onc_ecog_date19_index_dd,numerical,13,Date_Difference,13,12,5240,0.9977151561309977,12,0,12,0.002284843869002285,0,0.002411575562700965,368,NaN,368,0,0.002411575562700965,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,162,197.6,282.5,307.5,425.5,635.8000000000001,702
onc_ecog_date1_index_dd,numerical,123,Date_Difference,123,404,4848,0.9230769230769231,289,18,271,0.05502665651180503,0.06521739130434782,0.05446141479099678,70.68858131487889,80.16666666666667,70.0590405904059,0.06228373702422145,0.010755976513351043,0.14298810201377274,-0.01326,0.01326,0.79048,0.9514983333333334,0.8883763837638378,1,1.7000000000000002,9.25,20.5,102.25,210.3000000000002,440,1,4,7,24,80,168,617
onc_ecog_date20_index_dd,numerical,10,Date_Difference,10,10,5242,0.9980959634424981,10,0,10,0.001904036557501904,0,0.0020096463022508037,407.8,NaN,407.8,0,0.0020096463022508037,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,182,198.2,301.25,385,457.75,689.2,709
onc_ecog_date21_index_dd,numerical,10,Date_Difference,10,9,5243,0.9982863670982483,9,0,9,0.0017136329017517135,0,0.0018086816720257234,436.22222222222223,NaN,436.22222222222223,0,0.0018086816720257234,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,183,207.8,324,461,501,704,716
onc_ecog_date22_index_dd,numerical,9,Date_Difference,9,8,5244,0.9984767707539984,8,0,8,0.0015232292460015233,0,0.001607717041800643,427.625,NaN,427.625,0,0.001607717041800643,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,190,216.60000000000002,321,434,526,593.5,723
onc_ecog_date23_index_dd,numerical,8,Date_Difference,8,7,5245,0.9986671744097486,7,0,7,0.0013328255902513328,0,0.0014067524115755627,411.2857142857143,NaN,411.2857142857143,0,0.0014067524115755627,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,197,231.8,313.5,408,526.5,556.2,594
onc_ecog_date24_index_dd,numerical,7,Date_Difference,7,6,5246,0.9988575780654989,6,0,6,0.0011424219345011425,0,0.0012057877813504824,420,NaN,420,0,0.0012057877813504824,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,211,244,304.25,411,550,605,622
onc_ecog_date25_index_dd,numerical,7,Date_Difference,7,6,5246,0.9988575780654989,6,0,6,0.0011424219345011425,0,0.0012057877813504824,460,NaN,460,0,0.0012057877813504824,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,218,251.5,317.25,467,613.75,661.5,678
onc_ecog_date26_index_dd,numerical,6,Date_Difference,6,5,5247,0.9990479817212491,5,0,5,9.52018278750952e-4,0,0.0010048231511254019,470.8,NaN,470.8,0,0.0010048231511254019,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,224,252.4,295,442,680,699.8,713
onc_ecog_date27_index_dd,numerical,4,Date_Difference,4,3,5249,0.9994287890327495,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,328.6666666666667,NaN,328.6666666666667,0,6.028938906752412e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,232,246.60000000000002,268.5,305,377,420.2,449
onc_ecog_date28_index_dd,numerical,4,Date_Difference,4,3,5249,0.9994287890327495,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,405,NaN,405,0,6.028938906752412e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,239,254.6,278,317,488,590.6,659
onc_ecog_date29_index_dd,numerical,4,Date_Difference,4,3,5249,0.9994287890327495,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,426.6666666666667,NaN,426.6666666666667,0,6.028938906752412e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,253,269,293,333,513.5,621.8,694
onc_ecog_date2_index_dd,numerical,128,Date_Difference,128,198,5054,0.9623000761614623,198,11,187,0.0376999238385377,0.03985507246376811,0.03758038585209003,122.1969696969697,139.45454545454547,121.18181818181819,0.05555555555555555,0.002274686611678081,0.14953502789832615,0.02971,0.02971,0.67781,0.9514983333333334,NaN,7,25,29.5,80,245,338,378,1,14.600000000000001,33.5,59,149.5,331.40000000000003,720
onc_ecog_date30_index_dd,numerical,4,Date_Difference,4,3,5249,0.9994287890327495,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,439,NaN,439,0,6.028938906752412e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,266,281,303.5,341,525.5,636.1999999999999,710
onc_ecog_date3_index_dd,numerical,112,Date_Difference,112,142,5110,0.9729626808834729,142,5,137,0.02703731911652704,0.018115942028985508,0.027532154340836012,164.25352112676057,162.4,164.32116788321167,0.035211267605633804,0.009416212311850504,0.011696357375066737,0.03822,0.03822,0.65157,0.9514983333333334,NaN,61,70.2,84,111,171,299.3999999999999,385,4,27.6,54,96,245,400.4000000000002,727
onc_ecog_date4_index_dd,numerical,92,Date_Difference,92,111,5141,0.9788651942117289,111,3,108,0.021134805788271135,0.010869565217391304,0.021704180064308683,197.36036036036037,189,197.59259259259258,0.02702702702702703,0.01083461484691738,0.04353758058053483,0.03034,0.03034,0.75189,0.9514983333333334,NaN,91,111.39999999999999,142,193,238,265,283,9,41.400000000000006,78.5,140.5,288.25,444.9,620
onc_ecog_date5_index_dd,numerical,85,Date_Difference,85,88,5164,0.9832444782939832,88,3,85,0.016755521706016754,0.010869565217391304,0.017081993569131832,229.61363636363637,230,229.6,0.03409090909090909,0.006212428351740528,0.0017420568148075076,0.03451,0.03451,0.74954,0.9514983333333334,NaN,119,133.8,156,193,285.5,340.99999999999994,378,21,58.800000000000004,98,169,330,479.80000000000007,696
onc_ecog_date6_index_dd,numerical,74,Date_Difference,74,77,5175,0.9853389185072353,77,3,74,0.014661081492764662,0.010869565217391304,0.01487138263665595,240.98701298701297,272.3333333333333,239.71621621621622,0.03896103896103896,0.004001817419264645,0.13534802856316103,0.07398,0.07398,0.52252,0.9514983333333334,NaN,147,173,212,277,335,369.79999999999995,393,25,59.599999999999994,110.75,188.5,348.75,516.1,666
onc_ecog_date7_index_dd,numerical,67,Date_Difference,67,69,5183,0.9868621477532369,69,3,66,0.013137852246763138,0.010869565217391304,0.013263665594855305,270.1304347826087,343.3333333333333,266.8030303030303,0.043478260869565216,0.0023941003774640007,0.28330870267132935,0.1124,0.1124,0.35781,0.9514983333333334,NaN,175,212.79999999999998,269.5,364,427.5,465.59999999999997,491,26,74.5,127.5,198.5,383.5,572,648
onc_ecog_date8_index_dd,numerical,55,Date_Difference,55,59,5193,0.9887661843107388,59,2,57,0.011233815689261234,0.007246376811594203,0.011454983922829582,275.271186440678,392.5,271.1578947368421,0.03389830508474576,0.004208607111235379,0.44080932273421075,0.12376,0.12376,0.35039,0.9514983333333334,NaN,203,240.90000000000003,297.75,392.5,487.25,544.1,582,27,78.2,132,207,387,547,720
onc_ecog_date9_index_dd,numerical,52,Date_Difference,52,51,5201,0.9902894135567403,51,2,49,0.00971058644325971,0.007246376811594203,0.00984726688102894,277.1764705882353,406.5,271.8979591836735,0.0392156862745098,0.0026008900694347364,0.48561856831017625,0.15784,0.15784,0.26863,0.9514983333333334,NaN,231,266.1,318.75,406.5,494.25,546.9,582,28,80.8,136,224,413,554.8000000000001,644
onc_free_testo1,numerical,43,NA,43,65,5187,0.9876237623762376,65,5,60,0.012376237623762377,0.018115942028985508,0.012057877813504822,6.49,5.024,6.612166666666667,0.07692307692307693,0.0060580642154806855,0.2447098099640473,0.10332,0.10332,0.41277,0.9514983333333334,NaN,0.52,0.632,0.8,1.7,2.5,12.759999999999994,19.6,0.03,0.2,0.27499999999999997,1.2,5.115,9.14,144.4
onc_free_testo2,numerical,13,NA,13,13,5239,0.9975247524752475,13,1,12,0.0024752475247524753,0.0036231884057971015,0.002411575562700965,4.275384615384615,1.5,4.506666666666667,0.07692307692307693,0.0012116128430961367,0.7032505697493103,-0.07726,0.07726,0.80192,0.9514983333333334,NaN,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.07,0.14600000000000002,0.2,3.035,8.65,10.03,11
onc_free_testo3,numerical,6,NA,6,5,5247,0.9990479817212491,5,1,4,9.52018278750952e-4,0.0036231884057971015,8.038585209003215e-4,3.902,0.5,4.7525,0.2,0.0028193298848967797,1.0898257303946695,-0.35355,0.35355,0.5594,0.9514983333333334,NaN,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.07,0.271,0.5724999999999999,1.4700000000000002,5.65,11.860000000000003,16
onc_free_testo_date1_index_dd,numerical,51,Date_Difference,51,65,5187,0.9876237623762376,60,5,55,0.011424219345011425,0.018115942028985508,0.011053054662379422,166.73333333333332,202.2,163.5090909090909,0.08333333333333333,0.007062887366606086,0.23205263349205774,0.02463,0.02463,0.84559,0.952027902097902,Inf,7,9.8,14,128,161,484.9999999999998,701,1,8.8,22,66,273,462.4000000000001,728
onc_free_testo_date2_index_dd,numerical,14,Date_Difference,14,13,5239,0.9975247524752475,13,1,12,0.0024752475247524753,0.0036231884057971015,0.002411575562700965,284.61538461538464,186,292.8333333333333,0.07692307692307693,0.0012116128430961367,0.37536036036036025,0,0,1,1,NaN,186,186,186,186,186,186,186,26,44.20000000000001,136,187,500.25,549.6,607
onc_free_testo_date3_index_dd,numerical,6,Date_Difference,6,5,5247,0.9990479817212491,5,1,4,9.52018278750952e-4,0.0036231884057971015,8.038585209003215e-4,358,281,377.25,0.2,0.0028193298848967797,0.26885474860335196,-0.35355,0.35355,0.5594,0.9514983333333334,NaN,281,281,281,281,281,281,281,56,149.9,290.75,412,498.5,576.8000000000001,629
onc_histology_adenocarcinoma,numerical,2,NA,2,5252,0,0,776,53,723,0.14775323686214775,0.19202898550724637,0.14529742765273312,1,1,1,0.06829896907216494,0.046731557854513245,0,0.02939,0.02939,0.03321,0.5940900000000001,1.398067345204647,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_histology_adenocarcinoma_nos,numerical,2,NA,2,5252,0,0,319,16,303,0.06073876618431074,0.057971014492753624,0.06089228295819936,1,1,1,0.050156739811912224,0.002921268465445735,0,-0.00273,0.00273,0.84326,0.952027902097902,0.9490733688753491,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_histology_carcinoma_nos,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_histology_genitourinary_prostate_cancer,numerical,2,NA,2,5252,0,0,456,22,434,0.08682406702208682,0.07971014492753623,0.08721864951768489,1,1,1,0.04824561403508772,0.007508504590148665,0,-0.00595,0.00595,0.66639,0.9514983333333334,0.9064552414819116,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_histology_small_cell,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_histology_small_cell_carcinoma,numerical,2,NA,2,5252,0,0,2,0,2,3.808073115003808e-4,0,4.0192926045016077e-4,1,NaN,1,0,4.0192926045016077e-4,NaN,-0.0046,0.0046,0.7391,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_histology_small_cell_carcinoma_nos,numerical,2,NA,2,5252,0,0,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,1,NaN,1,0,6.028938906752412e-4,NaN,-0.00563,0.00563,0.68332,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_histology_transitional_cell_carcinoma,numerical,2,NA,2,5252,0,0,7,0,7,0.0013328255902513328,0,0.0014067524115755627,1,NaN,1,0,0.0014067524115755627,NaN,-0.0086,0.0086,0.53303,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_gleason,numerical,10,NA,10,91,5161,0.9826732673267327,91,3,88,0.017326732673267328,0.010869565217391304,0.017684887459807074,7.945054945054945,6.666666666666667,7.988636363636363,0.03296703296703297,0.00681532224241577,0.16638899367115126,-0.13798,0.13798,0.19214,0.9514983333333334,NaN,4,4.8,6,8,8,8,8,2,6.700000000000001,8,8,9,9.299999999999997,10
onc_latest_gleason_date_index_dd,numerical,81,Date_Difference,81,91,5161,0.9826732673267327,86,3,83,0.016374714394516376,0.010869565217391304,0.016680064308681672,211.38372093023256,270.3333333333333,209.25301204819277,0.03488372093023256,0.005810499091290368,0.2889547076584018,0.08436,0.08436,0.4266,0.9514983333333334,Inf,60,96.39999999999999,151,242,375.5,455.59999999999997,509,1,24.6,55,146,334,458.19999999999993,704
onc_latest_m_date_index_dd,numerical,371,Date_Difference,371,809,4443,0.845963442498096,759,35,724,0.14451637471439452,0.12681159420289856,0.1454983922829582,190.532279314888,247.77142857142857,187.76519337016575,0.0461133069828722,0.01868679808005963,0.3149399955589257,0.06214,0.06214,0.07731,0.8297939999999999,1.1602209944751383,2,12.000000000000002,79.5,184,402,562.6,670,1,10,29.75,120,289.25,502.8000000000002,730
onc_latest_m_m0,numerical,2,NA,2,5252,0,0,548,21,527,0.10434120335110435,0.07608695652173914,0.10590836012861736,1,1,1,0.03832116788321168,0.029821403606878225,0,-0.02177,0.02177,0.11473,0.8795966666666667,0.6952338430628417,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_m_m1,numerical,2,NA,2,5252,0,0,74,2,72,0.01408987052551409,0.007246376811594203,0.014469453376205787,1,1,1,0.02702702702702703,0.007223076564611584,0,-0.01367,0.01367,0.32177,0.9514983333333334,0.49716139497161393,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_m_m1a,numerical,2,NA,2,5252,0,0,16,1,15,0.0030464584920030465,0.0036231884057971015,0.0030144694533762056,1,1,1,0.0625,6.087189524208959e-4,0,0.00246,0.00246,0.85827,0.9522219047619048,1.2026666666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_m_m1b,numerical,2,NA,2,5252,0,0,145,12,133,0.02760853008377761,0.043478260869565216,0.02672829581993569,1,1,1,0.08275862068965517,0.016749965049629525,0,0.02281,0.02281,0.09834,0.8725395,1.6551606288448393,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_m_m1c,numerical,2,NA,2,5252,0,0,26,1,25,0.0049504950495049506,0.0036231884057971015,0.00502411575562701,1,1,1,0.038461538461538464,0.0014009273498299083,0,-0.00445,0.00445,0.74692,0.9514983333333334,0.7201454545454545,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_n_date_index_dd,numerical,297,Date_Difference,297,477,4775,0.9091774562071592,450,20,430,0.08568164508758568,0.07246376811594203,0.08641479099678456,222.95333333333335,252.55,221.5767441860465,0.044444444444444446,0.013951022880842531,0.1389225958225346,0.05781,0.05781,0.20752,0.9514983333333334,Inf,2,14.500000000000002,152.5,190,382.25,515.5,573,1,15,38,167.5,369.75,546.3000000000001,730
onc_latest_n_n0,numerical,2,NA,2,5252,0,0,253,12,241,0.04817212490479817,0.043478260869565216,0.048432475884244375,1,1,1,0.04743083003952569,0.004954215014679159,0,-0.00516,0.00516,0.70837,0.9514983333333334,0.8930592229347416,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_n_n0_i+,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n0_i-,numerical,2,NA,2,5252,0,0,4,0,4,7.616146230007616e-4,0,8.038585209003215e-4,1,NaN,1,0,8.038585209003215e-4,NaN,-0.0065,0.0065,0.63757,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n1,numerical,2,NA,2,5252,0,0,153,5,148,0.02913175932977913,0.018115942028985508,0.0297427652733119,1,1,1,0.032679738562091505,0.01162682324432639,0,-0.01543,0.01543,0.26367,0.9514983333333334,0.6018749376682956,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_n_n1a,numerical,2,NA,2,5252,0,0,19,2,17,0.0036176694592536178,0.007246376811594203,0.0034163987138263667,1,1,1,0.10526315789473684,0.0038299780977678363,0,0.01423,0.01423,0.30236,0.9514983333333334,2.129240017174753,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_n_n1b,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n1c,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n1mi,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n2,numerical,2,NA,2,5252,0,0,18,1,17,0.003427265803503427,0.0036231884057971015,0.0034163987138263667,1,1,1,0.05555555555555555,2.067896919707348e-4,0,7.9e-4,7.9e-4,0.95438,0.9977609090909091,1.0607486631016043,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_n_n2a,numerical,2,NA,2,5252,0,0,4,0,4,7.616146230007616e-4,0,8.038585209003215e-4,1,NaN,1,0,8.038585209003215e-4,NaN,-0.0065,0.0065,0.63757,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n2b,numerical,2,NA,2,5252,0,0,8,0,8,0.0015232292460015233,0,0.001607717041800643,1,NaN,1,0,0.001607717041800643,NaN,-0.0092,0.0092,0.5051,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n2c,numerical,2,NA,2,5252,0,0,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,1,NaN,1,0,6.028938906752412e-4,NaN,-0.00563,0.00563,0.68332,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n3,numerical,2,NA,2,5252,0,0,8,0,8,0.0015232292460015233,0,0.001607717041800643,1,NaN,1,0,0.001607717041800643,NaN,-0.0092,0.0092,0.5051,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_n_n3a,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_stage_date_index_dd,numerical,1142,Date_Difference,1142,2030,3222,0.6134805788271135,1521,96,1425,0.2896039603960396,0.34782608695652173,0.28637459807073956,1191.84352399737,1457.03125,1173.9782456140351,0.0631163708086785,0.06145148888578217,0.2374917501222161,0.06249,0.06249,0.00485,0.18257400000000001,1.491291866028708,2,19.5,127.25,733,2337.25,3931,6502,1,16,50,321,1656,3594,20010
onc_latest_t_date_index_dd,numerical,285,Date_Difference,285,444,4808,0.9154607768469155,421,23,398,0.08015993907083016,0.08333333333333333,0.079983922829582,230.88598574821853,236.08695652173913,230.5854271356784,0.05463182897862233,0.0033494105037513294,0.02382790522444333,0.04044,0.04044,0.39529,0.9514983333333334,Inf,2,17.200000000000006,117,184,359.5,509.79999999999995,547,1,16,40.5,175,384.75,553.3,730
onc_latest_t_t0,numerical,2,NA,2,5252,0,0,7,0,7,0.0013328255902513328,0,0.0014067524115755627,1,NaN,1,0,0.0014067524115755627,NaN,-0.0086,0.0086,0.53303,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_t1,numerical,2,NA,2,5252,0,0,37,2,35,0.007044935262757045,0.007246376811594203,0.0070337620578778135,1,1,1,0.05405405405405406,2.126147537163895e-4,0,5.7e-4,5.7e-4,0.96722,0.9988973248407643,1.0304483837330554,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t1a,numerical,2,NA,2,5252,0,0,2,0,2,3.808073115003808e-4,0,4.0192926045016077e-4,1,NaN,1,0,4.0192926045016077e-4,NaN,-0.0046,0.0046,0.7391,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_t1b,numerical,2,NA,2,5252,0,0,20,2,18,0.003808073115003808,0.007246376811594203,0.003617363344051447,1,1,1,0.1,0.003629013467542756,0,0.01315,0.01315,0.34079,0.9514983333333334,2.010543390105434,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t1c,numerical,2,NA,2,5252,0,0,44,4,40,0.008377760853008377,0.014492753623188406,0.008038585209003215,1,1,1,0.09090909090909091,0.006454168414185191,0,0.0158,0.0158,0.25226,0.9514983333333334,1.8147058823529414,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t2,numerical,2,NA,2,5252,0,0,51,3,48,0.00971058644325971,0.010869565217391304,0.00964630225080386,1,1,1,0.058823529411764705,0.0012232629665874448,0,0.00278,0.00278,0.84017,0.952027902097902,1.1282051282051282,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t2a,numerical,2,NA,2,5252,0,0,24,0,24,0.00456968773800457,0,0.00482315112540193,1,NaN,1,0,0.00482315112540193,NaN,-0.01596,0.01596,0.24759,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_t2b,numerical,2,NA,2,5252,0,0,30,2,28,0.0057121096725057125,0.007246376811594203,0.005627009646302251,1,1,1,0.06666666666666667,0.001619367165291952,0,0.00479,0.00479,0.7283,0.9514983333333334,1.2898852971845671,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t2c,numerical,2,NA,2,5252,0,0,68,4,64,0.012947448591012947,0.014492753623188406,0.012861736334405145,1,1,1,0.058823529411764705,0.0016310172887832614,0,0.00322,0.00322,0.81557,0.9514983333333334,1.1286764705882353,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t3,numerical,2,NA,2,5252,0,0,56,2,54,0.010662604722010662,0.007246376811594203,0.010852090032154342,1,1,1,0.03571428571428571,0.0036057132205601387,0,-0.00783,0.00783,0.57032,0.9514983333333334,0.6653149499864828,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t3a,numerical,2,NA,2,5252,0,0,24,1,23,0.00456968773800457,0.0036231884057971015,0.004622186495176849,1,1,1,0.041666666666666664,9.989980893797472e-4,0,-0.00331,0.00331,0.81074,0.9514983333333334,0.7830830039525691,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t3b,numerical,2,NA,2,5252,0,0,29,1,28,0.005521706016755522,0.0036231884057971015,0.005627009646302251,1,1,1,0.034482758620689655,0.0020038212405051495,0,-0.00603,0.00603,0.66198,0.9514983333333334,0.6425974025974025,1,1,1,1,1,1,1,1,1,1,1,1,1,1
