Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Above0_P,Positive Above0_P,Negative Above0_P,Mean above 0,Positive Mean above 0,Negative Mean above 0,Precision,Above0_Diff,Percentage Mean Difference above 0,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min above 0,Positive P10 above 0,Positive P25 above 0,Positive P50 above 0,Positive P75 above 0,Positive P90 above 0,Positive Max above 0,Negative Min above 0,Negative P10 above 0,Negative P25 above 0,Negative P50 above 0,Negative P75 above 0,Negative P90 above 0,Negative Max above 0
onc_psa19,numerical,8,NA,8,7,5245,0.9986671744097486,7,2,5,0.0013328255902513328,0.007246376811594203,0.0010048231511254019,17.96747142857143,6.361149999999999,22.61,0.2857142857142857,0.0062415536604688016,0.9043481752341335,-0.31623,0.31623,0.48959,0.9514983333333334,NaN,0.0223,1.2900700000000012,3.191725,6.361149999999999,9.530574999999999,11.432229999999999,12.7,0.1,1.0599999999999998,2.5,6.46,26.75,57.04399999999998,77.24
onc_psa2,numerical,477,NA,477,618,4634,0.8823305407463823,617,44,573,0.11747905559786748,0.15942028985507245,0.11515273311897106,93.10427223662884,46.375502272727275,96.69251984293194,0.0713128038897893,0.04426755673610139,0.5404372577267091,0.04649,0.04649,0.24851,0.9514983333333334,Inf,0.0618,0.3374,2.4,9.75,34.33,89.45800000000003,838.4,8e-5,0.1,0.86,6.23,29.3,161.99200000000036,7761.79
onc_psa20,numerical,8,NA,8,7,5245,0.9986671744097486,7,2,5,0.0013328255902513328,0.007246376811594203,0.0010048231511254019,23.705542857142856,4.8094,31.264,0.2857142857142857,0.0062415536604688016,1.1159668504291944,-0.31623,0.31623,0.48959,0.9514983333333334,NaN,0.0188,0.9769200000000009,2.4141,4.8094,7.204699999999999,8.641879999999999,9.6,0.1,2.1639999999999997,5.26,5.6,23.44,82.52799999999996,121.92
onc_psa21,numerical,6,NA,6,5,5247,0.9990479817212491,5,2,3,9.52018278750952e-4,0.007246376811594203,6.028938906752412e-4,6.89302,3.55755,9.116666666666667,0.4,0.006643482920918962,0.8064849175929661,-0.28868,0.28868,0.63762,0.9514983333333334,NaN,0.0151,0.7235900000000006,1.786325,3.55755,5.328774999999999,6.3915099999999985,7.1,0.1,0.9799999999999998,2.3,4.5,13.625,19.099999999999998,22.75
onc_psa22,numerical,6,NA,6,5,5247,0.9990479817212491,5,2,3,9.52018278750952e-4,0.007246376811594203,6.028938906752412e-4,6.96212,2.7053000000000003,9.8,0.4,0.006643482920918962,1.0190430501054277,-0.28868,0.28868,0.63762,0.9514983333333334,NaN,0.0106,0.5495400000000005,1.35795,2.7053000000000003,4.052650000000001,4.861059999999999,5.4,0.1,0.9899999999999998,2.3249999999999997,4.55,14.65,20.709999999999997,24.75
onc_psa23,numerical,5,NA,5,4,5248,0.9992383853769993,4,2,2,7.616146230007616e-4,0.007246376811594203,4.0192926045016077e-4,2.127225,1.8544500000000002,2.4,0.5,0.006844447551144042,0.256460882135176,-0.44721,0.44721,0.55279,0.9514983333333334,NaN,0.0089,0.37801000000000035,0.931675,1.8544500000000002,2.7772250000000005,3.3308899999999997,3.7,0.1,0.5600000000000004,1.25,2.4,3.5500000000000003,4.239999999999999,4.7
onc_psa24,numerical,5,NA,5,4,5248,0.9992383853769993,4,2,2,7.616146230007616e-4,0.007246376811594203,4.0192926045016077e-4,3.5566750000000003,1.95335,5.16,0.5,0.006844447551144042,0.9015864536399868,-0.44721,0.44721,0.55279,0.9514983333333334,NaN,0.0067,0.3960300000000003,0.9800249999999999,1.95335,2.926675,3.5106699999999997,3.9,0.1,1.112000000000001,2.6300000000000003,5.16,7.690000000000001,9.208,10.22
onc_psa25,numerical,4,NA,4,3,5249,0.9994287890327495,3,2,1,5.712109672505713e-4,0.007246376811594203,2.0096463022508038e-4,4.292133333333333,1.2532,10.37,0.6666666666666666,0.007045412181369123,2.1240719455748502,-0.86603,0.86603,0.33333,0.9514983333333334,NaN,0.0064,0.2557600000000002,0.6298,1.2532,1.8766,2.25064,2.5,10.37,10.37,10.37,10.37,10.37,10.37,10.37
onc_psa3,numerical,350,NA,350,453,4799,0.9137471439451638,453,35,418,0.08625285605483625,0.12681159420289856,0.0840032154340836,69.95484437086093,54.077151428571426,71.28431626794259,0.0772626931567329,0.042808378768814964,0.2459753144206644,0.04065,0.04065,0.38801,0.9514983333333334,NaN,0.0777,0.34792,1.76,5.8,21.7,79.50600000000006,1109.2,1e-4,0.1,0.86325,5.265000000000001,22.445,106.25000000000001,5158
onc_psa4,numerical,284,NA,284,364,4888,0.9306930693069307,364,27,337,0.06930693069306931,0.09782608695652174,0.0677250803858521,68.59252335164835,22.47450740740741,72.28743857566765,0.07417582417582418,0.03010100657066965,0.7262151723576034,0.0661,0.0661,0.20833,0.9514983333333334,NaN,0.2479,0.6779999999999999,2.2,6,18.895000000000003,59.06000000000001,214.5,1e-4,0.1,0.6,4.3,18.85,98.4960000000001,5158
