Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
d3651_claim_cnt,numerical,24,NA,24,70883,0,0,2591,116,2475,0.04477035893477422,8.302576987231983e-4,0.036553193290351706,0.03734707018673535,0.036516812488012154,0.15065671599678343,0.14037347070186734,0.15112796376351859,0.07138409323803963,8e-4,8e-4,0.83085,0.911981465930902,1.0236183912705652,0,0,0,0,0,0,17,0,0,0,0,0,0,26
d3651_flag,numerical,2,NA,2,70883,0,0,2591,116,2475,0.04477035893477422,8.302576987231983e-4,0.036553193290351706,0.03734707018673535,0.036516812488012154,0.036553193290351706,0.03734707018673535,0.036516812488012154,0.02271368446877517,9.1e-4,9.1e-4,0.80948,0.9096956521739131,1.0236183912705652,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3651_index_max_dd,numerical,646,Date_Difference,646,2591,68292,0.9634468067096483,2580,116,2464,0.04496124031007752,9.9255464311436e-4,0.03639800798498935,0.03734707018673535,0.03635451554362099,211.71208027788498,238.33620689655172,210.46424242424243,0.13165032640426394,0.03771,0.03771,0.05494,0.17373617829993088,Inf,1,34,90.75,166,325.75,547.5,725,0,23.400000000000006,58,134,327,541,730
d3651_index_min_dd,numerical,662,Date_Difference,662,2591,68292,0.9634468067096483,2588,116,2472,0.04482225656877898,8.745205017389665e-4,0.036510870025252884,0.03734707018673535,0.036472549684996386,498.1547664994211,504.33620689655174,497.86505050505053,0.01299025288260236,-2.6e-4,2.6e-4,0.98942,0.993518926925609,Inf,31,236,353.75,549.5,674,707.5,728,0,154,352.5,574,670,711,730
d3651_max_min_dd,numerical,615,Date_Difference,615,2591,68292,0.9634468067096483,1927,86,1841,0.04462895692786715,5.257383544294524e-4,0.02718564394847848,0.027688345138441726,0.027162606784012274,286.44268622153606,266,287.4008080808081,0.07471235646860466,-0.01615,0.01615,0.41121,0.6487192241379311,0.987217092160058,0,0,0,245,484.75,611,718,0,0,0,275,527.5,614,729
d3661_claim_cnt,numerical,21,NA,21,70883,0,0,8433,400,8033,0.047432704849994074,0.010261968435348684,0.11897069819279658,0.128783000643915,0.11852103220856633,0.3226020343382757,0.3283966516419833,0.3223364858285259,0.018785268437280723,0.00601,0.00601,0.10963,0.2824083614864865,1.0993822691302295,0,0,0,0,0,1,16,0,0,0,0,0,1,28
d3661_flag,numerical,2,NA,2,70883,0,0,8433,400,8033,0.047432704849994074,0.010261968435348684,0.11897069819279658,0.128783000643915,0.11852103220856633,0.11897069819279658,0.128783000643915,0.11852103220856633,0.08625626806626595,0.00649,0.00649,0.0841,0.23489468864468863,1.0993822691302295,0,0,0,0,0,1,1,0,0,0,0,0,1,1
d3661_index_max_dd,numerical,732,Date_Difference,732,8433,62450,0.8810293018072034,8407,398,8009,0.047341501130010705,0.009972155856255271,0.11860389656194009,0.12813908564069543,0.11816692978444016,296.0211075536582,299.3125,295.85721399228186,0.011672431186657261,0.00401,0.00401,0.71262,0.8591355731225295,0.5963291297290548,0,34,125.75,272.5,457,609.4000000000001,730,0,43,115,261,458,618,730
d3661_index_min_dd,numerical,732,Date_Difference,732,8433,62450,0.8810293018072034,8423,399,8024,0.047370295619138074,0.01007279934278621,0.11882962064246716,0.12846104314230522,0.11838824379951901,415.2591011502431,406.91,415.67484127972114,0.021106921571238342,-0.00944,0.00944,0.38595,0.624812898089172,0.44753240279162515,0,107.20000000000005,216,435,597.25,668.1,730,0,103,240,435,605,688,730
d3661_max_min_dd,numerical,655,Date_Difference,655,8433,62450,0.8810293018072034,4529,203,4326,0.04482225656877898,0.0015304108780431896,0.06389402254419255,0.06535737282678686,0.06382696194874367,119.23799359658484,107.5975,119.81762728743931,0.10248518042649549,-0.01623,0.01623,0.13605,0.32604963331587217,0.883010530120086,0,0,0,6,135.75,381,713,0,0,0,14,203,406,727
d3665_claim_cnt,numerical,13,NA,13,70883,0,0,1709,87,1622,0.05090696313633704,0.004078880476190615,0.02411015335129721,0.028010302640051513,0.023931422163860898,0.04789582833683676,0.053122987765614936,0.04765628458031486,0.11413735548854945,0.00542,0.00542,0.1487,0.3432288199697428,1.1753520347294917,0,0,0,0,0,0,7,0,0,0,0,0,0,25
d3665_flag,numerical,2,NA,2,70883,0,0,1709,87,1622,0.05090696313633704,0.004078880476190615,0.02411015335129721,0.028010302640051513,0.023931422163860898,0.02411015335129721,0.028010302640051513,0.023931422163860898,0.16917687817075444,0.00544,0.00544,0.1473,0.34207994923857865,1.1753520347294917,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3665_index_max_dd,numerical,641,Date_Difference,641,1709,69174,0.9758898466487028,1706,87,1619,0.050996483001172335,0.004123143279206386,0.024067830086198384,0.028010302640051513,0.023887159360845126,316.4060854300761,297.82758620689657,317.40258939580764,0.06186670892345094,-0.02009,0.02009,0.40663,0.6446374740124741,Inf,7,61.8,124,266,462.5,583.8000000000001,692,0,51,137.25,298.5,490.75,618.8000000000002,730
d3665_index_min_dd,numerical,653,Date_Difference,653,1709,69174,0.9758898466487028,1707,87,1620,0.050966608084358524,0.004108389011534465,0.024081937841231325,0.028010302640051513,0.023901913628517048,397.39730836746634,356.0919540229885,399.612823674476,0.10951475698281404,-0.04643,0.04643,0.05495,0.17373617829993088,Inf,17,84.6,148,359,523,634.0000000000001,712,0,99.10000000000002,221.25,418.5,582,674,730
d3665_max_min_dd,numerical,300,Date_Difference,300,1709,69174,0.9758898466487028,780,39,741,0.05,0.0016234302178859527,0.011004048925694454,0.012556342562781713,0.01093291234489576,80.99122293739029,58.264367816091955,82.21023427866831,0.2956600183835666,-0.01735,0.01735,0.47364,0.6974261345349211,0.9660087719298245,0,0,0,0,33.5,250.60000000000028,577,0,0,0,0,64.75,368,693
d3669_claim_cnt,numerical,15,NA,15,70883,0,0,1532,75,1457,0.0489556135770235,0.002649844622740642,0.021613080710466543,0.02414681262073406,0.02149696799799342,0.041730739387441276,0.048615582743077916,0.04141522935509096,0.17254315388799166,0.00377,0.00377,0.31515,0.5522065300651091,1.1263161017235082,0,0,0,0,0,0,8,0,0,0,0,0,0,14
d3669_flag,numerical,2,NA,2,70883,0,0,1532,75,1457,0.0489556135770235,0.002649844622740642,0.021613080710466543,0.02414681262073406,0.02149696799799342,0.021613080710466543,0.02414681262073406,0.02149696799799342,0.12260374438232699,0.00373,0.00373,0.32069,0.5576422462941847,1.1263161017235082,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3669_index_max_dd,numerical,612,Date_Difference,612,1532,69351,0.9783869192895335,1520,75,1445,0.049342105263157895,0.0028268958348037325,0.021443787650071246,0.02414681262073406,0.02131991678593033,341.41187989556136,366.72,340.10912834591625,0.07794360191046693,0.02822,0.02822,0.26966,0.4986639046079224,Inf,15,79.80000000000001,171,391,534.5,656.4000000000001,723,0,57.599999999999994,146,327,521,652,730
d3669_index_min_dd,numerical,636,Date_Difference,636,1532,69351,0.9783869192895335,1525,75,1450,0.04918032786885246,0.0027531244964441107,0.02151432642523595,0.02414681262073406,0.02139368812428995,379.55809399477806,409.18666666666667,378.03294440631436,0.08207893008541907,0.03161,0.03161,0.21632,0.43463504611330694,Inf,15,150.8,243.5,418,576.5,682.2,723,0,82,197,379,566,673,730
d3669_max_min_dd,numerical,207,Date_Difference,207,1532,69351,0.9783869192895335,594,37,557,0.06228956228956229,0.0036943004663004125,0.008380006489567314,0.011912427559562138,0.008218127093261725,38.146214099216714,42.46666666666667,37.92381606039808,0.11909047106097663,0.04218,0.04218,0.09884,0.2618372900984366,1.5732778985164886,0,0,0,0,25.5,113.40000000000008,607,0,0,0,0,21,124,687
d3674_claim_cnt,numerical,10,NA,10,70883,0,0,2283,84,2199,0.03679369250985545,0.005400204475338951,0.032208004740205694,0.02704443013522215,0.0324446346105611,0.04134983000155185,0.03766902768834514,0.04151850922879443,0.09309546231036067,-0.00623,0.00623,0.09731,0.2597393523920653,0.828929821599313,0,0,0,0,0,0,9,0,0,0,0,0,0,8
d3674_flag,numerical,2,NA,2,70883,0,0,2283,84,2199,0.03679369250985545,0.005400204475338951,0.032208004740205694,0.02704443013522215,0.0324446346105611,0.032208004740205694,0.02704443013522215,0.0324446346105611,0.16766653255604505,-0.00626,0.00626,0.09554,0.2565325322391559,0.828929821599313,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3674_index_max_dd,numerical,688,Date_Difference,688,2283,68600,0.9677919952597943,2275,84,2191,0.036923076923076927,0.005282170333963564,0.03209514269994216,0.02704443013522215,0.032326600469185715,316.3556723609286,282.23809523809524,317.65893587994543,0.11196524588134689,-0.03195,0.03195,0.12692,0.3121822580645161,Inf,1,39.60000000000001,128,248,393.75,580.4,689,0,63,140.5,296,483.5,618.2,730
d3674_index_min_dd,numerical,698,Date_Difference,698,2283,68600,0.9677919952597943,2277,84,2193,0.03689064558629776,0.0053116788693074075,0.03212335821000804,0.02704443013522215,0.03235610900452956,358.2540516863776,341.4761904761905,358.8949522510232,0.04862125548291477,-0.01561,0.01561,0.45607,0.6829853518821604,Inf,1,105.4,187.25,324,504,632.3000000000001,698,0,78,177,359,533,647,730
d3674_max_min_dd,numerical,215,Date_Difference,215,2283,68600,0.9677919952597943,334,13,321,0.038922155688622756,5.506724017604004e-4,0.004711990181002497,0.004185447520927237,0.004736119922687638,41.89837932544897,59.23809523809524,41.23601637107776,0.42966050613043794,0.0079,0.0079,0.70596,0.8581232524399894,1.0712123206528892,0,0,0,0,0,319.60000000000025,659,0,0,0,0,0,203.80000000000018,720
d3751_claim_cnt,numerical,13,NA,13,70883,0,0,2051,89,1962,0.04339346660165773,0.00029365552904400335,0.02893500557256324,0.02865421764327109,0.02894787317231509,0.049941452816613295,0.049581455247907275,0.049957950337135015,0.007538729211788121,-3.6e-4,3.6e-4,0.92413,0.961540766431658,0.9895564617355205,0,0,0,0,0,0,10,0,0,0,0,0,0,16
d3751_flag,numerical,2,NA,2,70883,0,0,2051,89,1962,0.04339346660165773,0.00029365552904400335,0.02893500557256324,0.02865421764327109,0.02894787317231509,0.02893500557256324,0.02865421764327109,0.02894787317231509,0.01014879808153393,-3.6e-4,3.6e-4,0.92394,0.961540766431658,0.9895564617355205,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3751_index_max_dd,numerical,640,Date_Difference,640,2051,68832,0.9710649944274368,2045,89,1956,0.04352078239608802,2.0512992301245994e-4,0.02885035904236559,0.02865421764327109,0.02885934756628355,288.16089712335446,309.29213483146066,287.20234454638125,0.07665783423634788,0.023,0.023,0.29777,0.531524678111588,Inf,17,39.2,135,270,483,614.2,723,0,41,114,250,449.75,599.9000000000001,729
d3751_index_min_dd,numerical,676,Date_Difference,676,2051,68832,0.9710649944274368,2048,89,1959,0.04345703125,2.4939272602823165e-4,0.028892682307464414,0.02865421764327109,0.02890361036929932,384.7976596782058,395.4831460674157,384.3129459734964,0.029028763073196875,0.00967,0.00967,0.66175,0.8301360707430764,Inf,24,127.6,216,412,561,660.4,723,0,79,196,403,579,667.9000000000001,729
d3751_max_min_dd,numerical,372,Date_Difference,372,2051,68832,0.9710649944274368,684,27,657,0.039473684210526314,0.0010007013169898733,0.00964970444253206,0.008692852543464262,0.009693553860454136,96.63676255485129,86.19101123595506,97.11060142711518,0.11299623354996124,-0.01362,0.01362,0.53768,0.7467777777777778,0.8650022094564737,0,0,0,0,122,366.59999999999997,546,0,0,0,0,144,384.9000000000001,719
d3792_claim_cnt,numerical,20,NA,20,70883,0,0,3122,142,2980,0.04548366431774504,0.0017502475662559969,0.0440444112128437,0.04571796522858983,0.04396771766233383,0.07903164369453888,0.08113329040566646,0.07893533204479396,0.027811117903199806,0.00182,0.00182,0.62742,0.8065960241640909,1.0417146699997284,0,0,0,0,0,0,6,0,0,0,0,0,0,31
d3792_flag,numerical,2,NA,2,70883,0,0,3122,142,2980,0.04548366431774504,0.0017502475662559969,0.0440444112128437,0.04571796522858983,0.04396771766233383,0.0440444112128437,0.04571796522858983,0.04396771766233383,0.03973824415084043,0.00175,0.00175,0.64205,0.8173007095158598,1.0417146699997284,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3792_index_max_dd,numerical,706,Date_Difference,706,3122,67761,0.9559555887871563,3116,142,2974,0.045571245186136075,0.0018387731722875403,0.04395976468264605,0.04571796522858983,0.04387919205630229,301.2930813581038,287.0281690140845,301.9728187919463,0.04960170247022447,-0.01622,0.01622,0.3649,0.6015918918918919,Inf,5,30,106,248.5,453,597.3000000000001,718,0,48,122,267.5,464,619.0999999999999,730
d3792_index_min_dd,numerical,716,Date_Difference,716,3122,67761,0.9559555887871563,3119,142,2977,0.045527412632253926,0.001794510369271772,0.04400208794774488,0.04571796522858983,0.043923454859318055,399.99135169762974,393.6478873239437,400.2936241610738,0.01661470131522724,-0.00742,0.00742,0.67839,0.8426918951941353,Inf,5,75.19999999999999,219.25,429.5,573.75,654.2,722,0,88,218,416,592.25,679,730
d3792_max_min_dd,numerical,455,Date_Difference,455,3122,67761,0.9559555887871563,1090,55,1035,0.05045871559633028,0.0024369955480968673,0.015377452985906353,0.017707662588538314,0.015270667040441447,98.69827033952595,106.61971830985915,98.32080536912751,0.08408367149883227,0.01507,0.01507,0.39993,0.6393011006289309,1.1880171025598312,0,0,0,0,208,382.70000000000005,642,0,0,0,0,140.25,384.0999999999999,714
d3804_claim_cnt,numerical,14,NA,14,70883,0,0,2952,139,2813,0.04708672086720867,0.0032483377626379567,0.041646092857243626,0.04475209272376046,0.041503754961122505,0.06543176784278318,0.07308435286542177,0.06508107470085722,0.12231486980138608,0.00334,0.00334,0.37395,0.6118817060085837,1.081932780912349,0,0,0,0,0,0,12,0,0,0,0,0,0,24
d3804_flag,numerical,2,NA,2,70883,0,0,2952,139,2813,0.04708672086720867,0.0032483377626379567,0.041646092857243626,0.04475209272376046,0.041503754961122505,0.041646092857243626,0.04475209272376046,0.041503754961122505,0.07799861979304414,0.00333,0.00333,0.37557,0.6136545535714286,1.081932780912349,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3804_index_max_dd,numerical,712,Date_Difference,712,2952,67931,0.9583539071427564,2935,139,2796,0.04735945485519591,0.003499160313060669,0.04140626102168362,0.04475209272376046,0.04125293241069979,308.1988482384824,315.58992805755395,307.8336295769641,0.025166539475800005,0.00838,0.00838,0.64909,0.8222333887043188,Inf,1,55,161,288,460.5,639,730,0,46,122,287,470,620,730
d3804_index_min_dd,numerical,716,Date_Difference,716,2952,67931,0.9583539071427564,2940,139,2801,0.04727891156462585,0.0034253889747010435,0.041476799796848325,0.04475209272376046,0.04132670374905942,373.8638211382114,381.6906474820144,373.47707074297904,0.021969434523055786,0.00815,0.00815,0.65802,0.8268172205438067,Inf,1,82,206.5,367,578.5,665.5999999999999,730,0,69,190,379,566,663,730
d3804_max_min_dd,numerical,371,Date_Difference,371,2952,67931,0.9583539071427564,735,36,699,0.04897959183673469,0.0012772369552774016,0.010369199949212081,0.01159047005795235,0.010313233102674948,65.664972899729,66.10071942446044,65.64344116601492,0.006963807921519752,0.00429,0.00429,0.81562,0.911981465930902,1.0570440435018125,0,0,0,0,3,318.40000000000015,626,0,0,0,0,0,340,700
d3891_claim_cnt,numerical,15,NA,15,70883,0,0,2288,95,2193,0.041520979020979024,0.001770146351599746,0.0322785435153704,0.030585962652929812,0.03235610900452956,0.054244318101660485,0.05634256278171281,0.05414816235596146,0.04045401440273939,-0.00196,0.00196,0.60103,0.7905058206381145,0.9435656431055426,0,0,0,0,0,0,7,0,0,0,0,0,0,16
d3891_flag,numerical,2,NA,2,70883,0,0,2288,95,2193,0.041520979020979024,0.001770146351599746,0.0322785435153704,0.030585962652929812,0.03235610900452956,0.0322785435153704,0.030585962652929812,0.03235610900452956,0.054839721958236366,-0.00205,0.00205,0.5852,0.7810731476079347,0.9435656431055426,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3891_index_max_dd,numerical,685,Date_Difference,685,2288,68595,0.9677214564846296,2276,95,2181,0.04173989455184534,0.0015930951395366592,0.0321092504549751,0.030585962652929812,0.03217905779246647,317.0244755244755,354.2315789473684,315.41267669858644,0.12244765072022017,0.03592,0.03592,0.08588,0.23797758933979407,Inf,1,39.4,180.5,344,521.5,641,723,0,50,134,297,487,608,730
d3891_index_min_dd,numerical,689,Date_Difference,689,2288,68595,0.9677214564846296,2278,95,2183,0.04170324846356453,0.0016226036748805094,0.03213746596504098,0.030585962652929812,0.03220856632781032,367.583041958042,424.9684210526316,365.09712722298224,0.1628782805396213,0.05644,0.05644,0.00693,0.03574379932356257,Inf,1,127.40000000000002,283.5,456,604,691,730,0,72.20000000000002,179,370,553,653,730
d3891_max_min_dd,numerical,295,Date_Difference,295,2288,68595,0.9677214564846296,617,29,588,0.04700162074554295,6.612581555924656e-4,0.008704484855324972,0.009336767546683838,0.008675509391091372,50.55856643356643,70.73684210526316,49.68445052439581,0.41639613355196764,0.02066,0.02066,0.32314,0.5597748958727754,1.1993661100803958,0,0,0,0,17,284.2000000000005,619,0,0,0,0,7,209.5999999999999,714
d3899_claim_cnt,numerical,16,NA,16,70883,0,0,1209,34,1175,0.028122415219189414,0.006389709459778048,0.017056275834826405,0.010946555054732776,0.017336264514510823,0.028497665166542046,0.01674179008370895,0.02903639877834664,0.43142512282277395,-0.01011,0.01011,0.00713,0.03644664804469274,0.6273459663120567,0,0,0,0,0,0,7,0,0,0,0,0,0,98
d3899_flag,numerical,2,NA,2,70883,0,0,1209,34,1175,0.028122415219189414,0.006389709459778048,0.017056275834826405,0.010946555054732776,0.017336264514510823,0.017056275834826405,0.010946555054732776,0.017336264514510823,0.37462512459673064,-0.0101,0.0101,0.00716,0.03647772828507795,0.6273459663120567,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3899_index_max_dd,numerical,573,Date_Difference,573,1209,69674,0.9829437241651736,1159,32,1127,0.027610008628127698,0.006325419614745266,0.016350888083179322,0.0103026400515132,0.016628059666258466,304.00578990901573,334.2352941176471,303.13106382978725,0.10231459834093568,0.02488,0.02488,0.38741,0.6265113997879109,0.681455190771961,0,60.3,141,318.5,495.25,593,717,0,23.400000000000006,99,280,487.5,623,728
d3899_index_min_dd,numerical,587,Date_Difference,587,1209,69674,0.9829437241651736,1165,32,1133,0.027467811158798282,0.006413945220776809,0.016435534613376972,0.0103026400515132,0.01671658527229001,345.1976840363937,368.94117647058823,344.51063829787233,0.07077260162075776,0.01813,0.01813,0.52889,0.7392825389550871,0.5931156222418359,0,65.80000000000001,207.25,401,568.25,610,717,0,38.400000000000006,140,356,534,650,730
d3899_max_min_dd,numerical,174,Date_Difference,174,1209,69674,0.9829437241651736,238,6,232,0.025210084033613446,0.001491245090227667,0.003357645697840103,0.0019317450096587251,0.003422990099886392,41.191894127378,34.705882352941174,41.3795744680851,0.1620146938256061,-0.00876,0.00876,0.76104,0.8824504555808657,0.8709975369458128,0,0,0,0,0,54.099999999999966,455,0,0,0,0,0,171.20000000000027,726
d4011_claim_cnt,numerical,43,NA,43,70883,0,0,13939,591,13348,0.042399024320252526,0.006663081433458534,0.19664799740417307,0.1902768834513844,0.19693996488484294,0.6789498187153479,0.6622665808113329,0.6797143573778716,0.025698182819389872,-0.00319,0.00319,0.39553,0.6355844452247191,0.9582165085602656,0,0,0,0,0,2,24,0,0,0,0,0,2,90
d4011_flag,numerical,2,NA,2,70883,0,0,13939,591,13348,0.042399024320252526,0.006663081433458534,0.19664799740417307,0.1902768834513844,0.19693996488484294,0.19664799740417307,0.1902768834513844,0.19693996488484294,0.03388329157384613,-0.00343,0.00343,0.36094,0.5978640477914555,0.9582165085602656,0,0,0,0,0,1,1,0,0,0,0,0,1,1
d4011_index_max_dd,numerical,732,Date_Difference,732,13939,56944,0.803352002595827,13533,583,12950,0.04307987881474913,0.0033665429129110247,0.19092024886079878,0.18770122343850612,0.19106776635141715,300.6635339694383,305.6751269035533,300.44163919688344,0.017406459764428298,0.00532,0.00532,0.5303,0.7398970722781336,2.2397104247104247,0,25,97,286,506.5,627,730,0,21,88,271,500,632,730
d4011_index_min_dd,numerical,732,Date_Difference,732,13939,56944,0.803352002595827,13786,588,13198,0.04265196576236762,0.0054158137874992796,0.19448951088413302,0.18931101094655506,0.19472682473405434,489.8277494798766,502.14382402707275,489.28243931675155,0.026256954049618586,0.00991,0.00991,0.24193,0.46571844762305425,2.22761024397636,0,163,373,576,666,710,730,0,132,348,562,666,708,730
d4011_max_min_dd,numerical,727,Date_Difference,727,13939,56944,0.803352002595827,8887,376,8511,0.04230899066051536,0.004517551550465945,0.12537561897775207,0.1210560206052801,0.12557357215574605,189.16421551043834,196.46869712351946,188.84080011986813,0.040324207107926335,0.00474,0.00474,0.57575,0.7734785672342925,0.9939050148508223,0,0,0,95,371,559,721,0,0,0,93,363,552,729
d4019_claim_cnt,numerical,82,NA,82,70883,0,0,33519,1350,32169,0.04027566454846505,0.03998740956491337,0.47287784094916974,0.4346426271732131,0.4746300367381265,2.2032786422696558,1.9513844172569221,2.214822137303215,0.1195662296144797,-0.01874,0.01874,0,0,0.8509798514975473,0,0,0,0,2,6,141,0,0,0,0,3,7,211
d4019_flag,numerical,2,NA,2,70883,0,0,33519,1350,32169,0.04027566454846505,0.03998740956491337,0.47287784094916974,0.4346426271732131,0.4746300367381265,0.47287784094916974,0.4346426271732131,0.4746300367381265,0.08456181724364553,-0.01639,0.01639,1e-5,1.1914062500000001e-4,0.8509798514975473,0,0,0,0,1,1,1,0,0,0,0,1,1,1
d4019_index_max_dd,numerical,732,Date_Difference,732,33519,37364,0.5271221590508303,27944,1210,26734,0.04330088748926424,0.004872014993376139,0.3942271066405203,0.38956857694784286,0.394440591941219,142.00232703839615,171.23481481481483,140.7755603220492,0.2144982770918235,0.04091,0.04091,0,0,1.7570856800863532,0,0,21,91,267.5,491.10000000000014,730,0,0,8,61,207,433,730
d4019_index_min_dd,numerical,732,Date_Difference,732,33519,37364,0.5271221590508303,31901,1304,30597,0.04087646155292938,0.031603745858698906,0.45005149330587024,0.4198325820991629,0.4514363279578618,382.88713863778753,404.32074074074075,381.9876589262955,0.05832810653787039,0.01771,0.01771,0.00118,0.00819195751138088,1.456442873768528,0,43.80000000000001,197,435,619.75,699,730,0,23,148,410,613,693,730
d4019_max_min_dd,numerical,732,Date_Difference,732,33519,37364,0.5271221590508303,23806,932,22874,0.039149794169537094,0.03742472722727003,0.33584921631420794,0.30006439150032194,0.33748911872759196,240.88481159939138,233.08592592592592,241.21209860424634,0.03373468266581631,-0.00768,0.00768,0.15963,0.35799375,0.906039033055227,0,0,0,177,438,601.2000000000003,730,0,0,0,169,462,621,730
d4029_claim_cnt,numerical,24,NA,24,70883,0,0,1595,56,1539,0.03510971786833856,0.004677197856943097,0.022501869277541865,0.0180296200901481,0.022706817947091198,0.058561291141740614,0.053122987765614936,0.058810510940289475,0.0971208636931957,-0.00641,0.00641,0.08797,0.24244743975903618,0.7902359420104603,0,0,0,0,0,0,23,0,0,0,0,0,0,45
d4029_flag,numerical,2,NA,2,70883,0,0,1595,56,1539,0.03510971786833856,0.004677197856943097,0.022501869277541865,0.0180296200901481,0.022706817947091198,0.022501869277541865,0.0180296200901481,0.022706817947091198,0.20785819165749064,-0.00646,0.00646,0.08568,0.23756727272727277,0.7902359420104603,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d4029_index_max_dd,numerical,564,Date_Difference,564,1595,69288,0.9774981307224582,1457,51,1406,0.035003431708991076,0.004324667764626127,0.020554999082995924,0.016419832582099163,0.02074450034672529,205.89467084639497,204.14285714285714,205.95841455490577,0.008817894142598311,-0.00885,0.00885,0.72393,0.8651984717868338,0.9648648648648649,0,1.5,28,95.5,349.25,561,716,0,2,31,129,334,559.4000000000001,730
d4029_index_min_dd,numerical,613,Date_Difference,613,1595,69288,0.9774981307224582,1503,52,1451,0.034597471723220224,0.004666652308252927,0.021203955814511236,0.01674179008370895,0.021408442391961876,310.1655172413793,330.4107142857143,309.4288499025341,0.06764731479435056,0.01653,0.01653,0.50948,0.727731903276131,0.78842177808408,0,11.5,108.25,322.5,517.5,660,727,0,12,90,278,511,665.2,730
d4029_max_min_dd,numerical,377,Date_Difference,377,1595,69288,0.9774981307224582,773,35,738,0.045278137128072445,3.798630144625729e-4,0.010905294640463864,0.011268512556342562,0.010888649541879989,104.27084639498433,126.26785714285714,103.47043534762832,0.2186365852337171,0.04764,0.04764,0.05717,0.17902310061601642,1.8089430894308942,0,0,0,20,187.25,426,595,0,0,0,0,143,378,714
d4039_claim_cnt,numerical,38,NA,38,70883,0,0,2879,83,2796,0.02882945467176103,0.014530459777087428,0.04061622673983889,0.026722472633612365,0.04125293241069979,0.12174992593428607,0.09047005795235029,0.12318338079289434,0.2686927535233238,-0.01495,0.01495,7e-5,7.085176991150442e-4,0.6381006229304469,0,0,0,0,0,0,27,0,0,0,0,0,0,56
d4039_flag,numerical,2,NA,2,70883,0,0,2879,83,2796,0.02882945467176103,0.014530459777087428,0.04061622673983889,0.026722472633612365,0.04125293241069979,0.04061622673983889,0.026722472633612365,0.04125293241069979,0.35775011475487606,-0.01507,0.01507,6e-5,6.182432432432432e-4,0.6381006229304469,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d4039_index_max_dd,numerical,620,Date_Difference,620,2879,68004,0.9593837732601611,2459,73,2386,0.029686864579097194,0.011700785047696425,0.03469096962600341,0.02350289761751449,0.035203682665210914,168.95102466134074,152.3132530120482,169.44492131616596,0.10140020362976718,-0.01532,0.01532,0.4111,0.6487192241379311,1.2544006705783737,0,0,9,80,199,448.59999999999997,712,0,0,14,88,268,486,729
d4039_index_min_dd,numerical,702,Date_Difference,702,2879,68004,0.9593837732601611,2656,80,2576,0.030120481927710843,0.012250393394093496,0.03747019736749291,0.025756600128783,0.038006993522876495,291.2462660646058,289.3734939759036,291.3018597997139,0.006621083421486754,-0.00117,0.00117,0.94979,0.970848525469169,2.277432712215321,0,14,57,200,486,671.5999999999999,730,0,6,69.75,251,489,649.5,730
d4039_max_min_dd,numerical,565,Date_Difference,565,2879,68004,0.9593837732601611,1570,51,1519,0.03248407643312102,0.005991900011553551,0.022149175401718325,0.016419832582099163,0.022411732593652714,122.29524140326502,137.06024096385542,121.85693848354792,0.12431638636024316,0.0259,0.0259,0.16473,0.36407717391304345,1.3398411784068467,0,0,0,24,214.5,407.19999999999993,707,0,0,0,2,192,455,729
d4107_claim_cnt,numerical,23,NA,23,70883,0,0,1664,51,1613,0.03064903846153846,0.0073788011727144165,0.023475304374814834,0.016419832582099163,0.02379863375481358,0.054949705853307565,0.03638119768190599,0.055800640335216964,0.35340394187282204,-0.01,0.01,0.00777,0.039106435643564356,0.6847725568544447,0,0,0,0,0,0,16,0,0,0,0,0,0,47
d4107_flag,numerical,2,NA,2,70883,0,0,1664,51,1613,0.03064903846153846,0.0073788011727144165,0.023475304374814834,0.016419832582099163,0.02379863375481358,0.023475304374814834,0.016419832582099163,0.02379863375481358,0.31432185308023797,-0.00998,0.00998,0.00791,0.039680098684210525,0.6847725568544447,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d4107_index_max_dd,numerical,535,Date_Difference,535,1664,69219,0.9765246956251852,1406,47,1359,0.033428165007112376,0.004919047190484844,0.019835503576315902,0.015132002575660013,0.020051049766144857,185.10456730769232,219.62745098039215,184.01301921884686,0.192401690998498,0.03379,0.03379,0.16825,0.370247113997114,2.1961000735835174,0,1,29.5,158,286,626,711,0,0,12,103,307,516.8,729
