Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
c00914_flag,numerical,2,NA,2,70883,0,0,1242,78,1164,0.06280193236714976,0.007938717555443769,0.01752183175091348,0.025112685125563427,0.017173967570119658,0.017521831750913475,0.025112685125563427,0.017173967570119658,0.45307577816628075,0.01239,0.01239,9.8e-4,0.007027429467084639,1.4741604134606217,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c00914_index_max_dd,numerical,521,Date_Difference,521,1242,69641,0.9824781682490865,1136,76,1060,0.06690140845070422,0.008829246390104302,0.016026409717421666,0.02446877012234385,0.01563952373223955,223.93156199677938,325.0897435897436,217.15292096219932,0.4820080816883537,0.13356,0.13356,0,0,3.7283018867924524,0,63.89999999999999,136.25,337,500.5,616,722,0,2,36,146,367.25,566,730
c00914_index_min_dd,numerical,529,Date_Difference,529,1242,69641,0.9824781682490865,1144,77,1067,0.0673076923076923,0.00904792401801062,0.0161392717576852,0.024790727623953637,0.015742803605943018,237.9476650563607,334.29487179487177,231.4914089347079,0.432042326768845,0.12806,0.12806,1e-5,1.1914062500000001e-4,6.999999999999999,0,70.19999999999999,149.75,354,500.5,616,722,0,5,38,161.5,398.25,588.7,730
c00914_max_min_dd,numerical,68,Date_Difference,68,1242,69641,0.9824781682490865,79,6,73,0.0759493670886076,8.546834696082654e-4,0.001114512647602387,0.0019317450096587251,0.0010770615400504597,14.01610305958132,9.205128205128204,14.338487972508592,0.3662472903886972,0.01263,0.01263,0.65666,0.8257887575590984,1.245433789954338,0,0,0,0,0,0,261,0,0,0,0,0,0,693
c1036f_claim_cnt,numerical,32,NA,32,70883,0,0,7261,408,6853,0.05619060735435891,0.03024766430109742,0.10243640929418901,0.1313586606567933,0.10111099635569588,0.2968553814031573,0.39890534449452675,0.292178762707113,0.3595238236307028,0.02066,0.02066,0,0,1.344391925446556,0,0,0,0,0,1,22,0,0,0,0,0,1,37
c1036f_flag,numerical,2,NA,2,70883,0,0,7261,408,6853,0.05619060735435891,0.03024766430109742,0.10243640929418901,0.1313586606567933,0.10111099635569588,0.10243640929418901,0.1313586606567933,0.10111099635569588,0.29528235623945576,0.02042,0.02042,0,0,1.344391925446556,0,0,0,0,0,1,1,0,0,0,0,0,1,1
c1036f_index_max_dd,numerical,728,Date_Difference,728,7261,63622,0.8975635907058109,6349,342,6007,0.05386675066939676,0.021480579645299244,0.08957013670414626,0.11010946555054733,0.08862888590524809,205.6492218702658,212.37745098039215,205.2486502261783,0.034664856445268045,-0.00687,0.00687,0.55826,0.7601308035714285,0.7297849478638558,0,0,15.75,109,391.25,590.3,730,0,0,21,125,351,560,730
c1036f_index_min_dd,numerical,732,Date_Difference,732,7261,63622,0.8975635907058109,6940,390,6550,0.056195965417867436,0.028922972376714262,0.09790781992861476,0.12556342562781714,0.09664045325110288,368.0169398154524,396.6593137254902,366.31168831168833,0.08246257748086314,0.02975,0.02975,0.01125,0.052680399181166834,1.002290076335878,0,27.700000000000003,154.75,430.5,629,705.3,730,0,24,131,380,599,686,730
c1036f_max_min_dd,numerical,711,Date_Difference,711,7261,63622,0.8975635907058109,4045,233,3812,0.05760197775030902,0.018772829509705796,0.057065869108248804,0.07501609787508048,0.05624326836537469,162.36771794518663,184.28186274509804,161.06303808551,0.14300148424470957,0.01718,0.01718,0.14322,0.3370532407407407,1.0621391095787738,0,0,0,54.5,339.25,589.4000000000001,727,0,0,0,31,300,531,730
c1101f_claim_cnt,numerical,20,NA,20,70883,0,0,1830,88,1742,0.048087431693989074,0.0026303258571695118,0.02581719171028314,0.028332260141661302,0.02570193428449179,0.050646840568260375,0.05795235028976175,0.050312052761261196,0.15085437596454168,0.00342,0.00342,0.36225,0.5987153304442038,1.1053236645949027,0,0,0,0,0,0,15,0,0,0,0,0,0,36
