Column,Type,NumUniqueValues
c72110_index_min_dd,numerical,656
c72110_max_min_dd,numerical,140
c72125_claim_cnt,numerical,8
c72125_flag,numerical,2
c72125_index_max_dd,numerical,568
c72125_index_min_dd,numerical,589
c72125_max_min_dd,numerical,112
c72131_claim_cnt,numerical,7
c72131_flag,numerical,2
c72131_index_max_dd,numerical,451
c72131_index_min_dd,numerical,469
c72131_max_min_dd,numerical,83
c72141_claim_cnt,numerical,5
c72141_flag,numerical,2
c72141_index_max_dd,numerical,484
c72141_index_min_dd,numerical,485
c72141_max_min_dd,numerical,43
c72148_claim_cnt,numerical,6
c72148_flag,numerical,2
c72148_index_max_dd,numerical,663
c72148_index_min_dd,numerical,670
c72148_max_min_dd,numerical,157
c72157_claim_cnt,numerical,5
c72157_flag,numerical,2
c72157_index_max_dd,numerical,237
c72157_index_min_dd,numerical,246
c72157_max_min_dd,numerical,28
c72158_claim_cnt,numerical,6
c72158_flag,numerical,2
c72158_index_max_dd,numerical,450
c72158_index_min_dd,numerical,468
c72158_max_min_dd,numerical,72
c72170_claim_cnt,numerical,12
c72170_flag,numerical,2
c72170_index_max_dd,numerical,674
c72170_index_min_dd,numerical,684
c72170_max_min_dd,numerical,248
c72197_claim_cnt,numerical,8
c72197_flag,numerical,2
c72197_index_max_dd,numerical,605
c72197_index_min_dd,numerical,638
c72197_max_min_dd,numerical,212
c73030_claim_cnt,numerical,12
c73030_flag,numerical,2
c73030_index_max_dd,numerical,710
c73030_index_min_dd,numerical,716
c73030_max_min_dd,numerical,295
c73130_claim_cnt,numerical,8
c73130_flag,numerical,2
c73130_index_max_dd,numerical,574
c73130_index_min_dd,numerical,573
c73130_max_min_dd,numerical,106
c73502_claim_cnt,numerical,8
c73502_flag,numerical,2
c73502_index_max_dd,numerical,317
c73502_index_min_dd,numerical,343
c73502_max_min_dd,numerical,94
c73510_claim_cnt,numerical,13
c73510_flag,numerical,2
c73510_index_max_dd,numerical,691
c73510_index_min_dd,numerical,698
c73510_max_min_dd,numerical,285
c73550_claim_cnt,numerical,10
c73550_flag,numerical,2
c73550_index_max_dd,numerical,384
c73550_index_min_dd,numerical,380
c73550_max_min_dd,numerical,69
c73560_claim_cnt,numerical,10
c73560_flag,numerical,2
c73560_index_max_dd,numerical,659
c73560_index_min_dd,numerical,661
c73560_max_min_dd,numerical,228
c73562_claim_cnt,numerical,11
c73562_flag,numerical,2
c73562_index_max_dd,numerical,667
c73562_index_min_dd,numerical,678
c73562_max_min_dd,numerical,238
c73564_claim_cnt,numerical,8
c73564_flag,numerical,2
c73564_index_max_dd,numerical,621
c73564_index_min_dd,numerical,628
c73564_max_min_dd,numerical,129
c73610_claim_cnt,numerical,12
c73610_flag,numerical,2
c73610_index_max_dd,numerical,561
c73610_index_min_dd,numerical,570
c73610_max_min_dd,numerical,133
c73630_claim_cnt,numerical,11
c73630_flag,numerical,2
c73630_index_max_dd,numerical,655
c73630_index_min_dd,numerical,668
c73630_max_min_dd,numerical,200
c73721_claim_cnt,numerical,6
c73721_flag,numerical,2
c73721_index_max_dd,numerical,507
c73721_index_min_dd,numerical,511
c73721_max_min_dd,numerical,52
c74000_claim_cnt,numerical,16
c74000_flag,numerical,2
c74000_index_max_dd,numerical,661
c74000_index_min_dd,numerical,675
c74000_max_min_dd,numerical,297
c74020_claim_cnt,numerical,8
c74020_flag,numerical,2
c74020_index_max_dd,numerical,501
c74020_index_min_dd,numerical,517
c74020_max_min_dd,numerical,87
c74022_claim_cnt,numerical,9
c74022_flag,numerical,2
c74022_index_max_dd,numerical,475
c74022_index_min_dd,numerical,492
c74022_max_min_dd,numerical,91
c74176_claim_cnt,numerical,13
c74176_flag,numerical,2
c74176_index_max_dd,numerical,722
c74176_index_min_dd,numerical,730
c74176_max_min_dd,numerical,574
c74177_claim_cnt,numerical,13
c74177_flag,numerical,2
c74177_index_max_dd,numerical,727
c74177_index_min_dd,numerical,732
c74177_max_min_dd,numerical,709
c74178_claim_cnt,numerical,7
c74178_flag,numerical,2
c74178_index_max_dd,numerical,713
c74178_index_min_dd,numerical,724
c74178_max_min_dd,numerical,376
c74420_claim_cnt,numerical,13
c74420_flag,numerical,2
c74420_index_max_dd,numerical,393
c74420_index_min_dd,numerical,395
c74420_max_min_dd,numerical,116
c76700_claim_cnt,numerical,9
c76700_flag,numerical,2
c76700_index_max_dd,numerical,619
c76700_index_min_dd,numerical,632
c76700_max_min_dd,numerical,141
c76705_claim_cnt,numerical,8
c76705_flag,numerical,2
c76705_index_max_dd,numerical,625
c76705_index_min_dd,numerical,640
c76705_max_min_dd,numerical,148
c76770_claim_cnt,numerical,12
c76770_flag,numerical,2
c76770_index_max_dd,numerical,718
c76770_index_min_dd,numerical,729
c76770_max_min_dd,numerical,400
c76775_claim_cnt,numerical,9
c76775_flag,numerical,2
c76775_index_max_dd,numerical,657
c76775_index_min_dd,numerical,671
c76775_max_min_dd,numerical,239
c76857_claim_cnt,numerical,12
c76857_flag,numerical,2
c76857_index_max_dd,numerical,518
c76857_index_min_dd,numerical,559
c76857_max_min_dd,numerical,209
c76872_claim_cnt,numerical,9
c76872_flag,numerical,2
c76872_index_max_dd,numerical,726
c76872_index_min_dd,numerical,728
c76872_max_min_dd,numerical,393
c76937_claim_cnt,numerical,8
c76937_flag,numerical,2
c76937_index_max_dd,numerical,431
c76937_index_min_dd,numerical,451
c76937_max_min_dd,numerical,96
c76942_claim_cnt,numerical,19
c76942_flag,numerical,2
c76942_index_max_dd,numerical,732
c76942_index_min_dd,numerical,730
c76942_max_min_dd,numerical,439
c77001_claim_cnt,numerical,12
c77001_flag,numerical,2
c77001_index_max_dd,numerical,342
c77001_index_min_dd,numerical,362
c77001_max_min_dd,numerical,83
c77012_claim_cnt,numerical,7
c77012_flag,numerical,2
c77012_index_max_dd,numerical,372
c77012_index_min_dd,numerical,382
c77012_max_min_dd,numerical,57
c77014_claim_cnt,numerical,70
c77014_flag,numerical,2
c77014_index_max_dd,numerical,652
c77014_index_min_dd,numerical,668
c77014_max_min_dd,numerical,149
c77080_claim_cnt,numerical,5
c77080_flag,numerical,2
c77080_index_max_dd,numerical,695
c77080_index_min_dd,numerical,701
c77080_max_min_dd,numerical,99
c77263_claim_cnt,numerical,6
c77263_flag,numerical,2
c77263_index_max_dd,numerical,668
c77263_index_min_dd,numerical,677
c77263_max_min_dd,numerical,122
c77280_claim_cnt,numerical,10
c77280_flag,numerical,2
c77280_index_max_dd,numerical,639
c77280_index_min_dd,numerical,637
c77280_max_min_dd,numerical,109
c77290_claim_cnt,numerical,10
c77290_flag,numerical,2
c77290_index_max_dd,numerical,676
c77290_index_min_dd,numerical,681
c77290_max_min_dd,numerical,188
c77300_claim_cnt,numerical,16
c77300_flag,numerical,2
c77300_index_max_dd,numerical,692
c77300_index_min_dd,numerical,697
c77300_max_min_dd,numerical,147
c77301_claim_cnt,numerical,7
c77301_flag,numerical,2
c77301_index_max_dd,numerical,678
c77301_index_min_dd,numerical,678
c77301_max_min_dd,numerical,66
c77334_claim_cnt,numerical,9
c77334_flag,numerical,2
c77334_index_max_dd,numerical,664
c77334_index_min_dd,numerical,676
c77334_max_min_dd,numerical,153
c77336_claim_cnt,numerical,18
c77336_flag,numerical,2
c77336_index_max_dd,numerical,661
c77336_index_min_dd,numerical,678
c77336_max_min_dd,numerical,113
c77338_claim_cnt,numerical,9
c77338_flag,numerical,2
c77338_index_max_dd,numerical,677
c77338_index_min_dd,numerical,685
c77338_max_min_dd,numerical,92
c77418_claim_cnt,numerical,62
c77418_flag,numerical,2
c77418_index_max_dd,numerical,515
c77418_index_min_dd,numerical,498
c77418_max_min_dd,numerical,91
c77427_claim_cnt,numerical,21
c77427_flag,numerical,2
c77427_index_max_dd,numerical,682
c77427_index_min_dd,numerical,670
c77427_max_min_dd,numerical,122
c77470_claim_cnt,numerical,6
c77470_flag,numerical,2
c77470_index_max_dd,numerical,433
c77470_index_min_dd,numerical,446
c77470_max_min_dd,numerical,35
c78306_claim_cnt,numerical,13
c78306_flag,numerical,2
c78306_index_max_dd,numerical,730
c78306_index_min_dd,numerical,732
c78306_max_min_dd,numerical,714
c78320_claim_cnt,numerical,7
c78320_flag,numerical,2
c78320_index_max_dd,numerical,314
c78320_index_min_dd,numerical,338
c78320_max_min_dd,numerical,64
c78452_claim_cnt,numerical,7
c78452_flag,numerical,2
c78452_index_max_dd,numerical,727
c78452_index_min_dd,numerical,729
c78452_max_min_dd,numerical,240
c78815_claim_cnt,numerical,8
c78815_flag,numerical,2
c78815_index_max_dd,numerical,423
c78815_index_min_dd,numerical,464
c78815_max_min_dd,numerical,145
c78816_claim_cnt,numerical,7
c78816_flag,numerical,2
c78816_index_max_dd,numerical,387
c78816_index_min_dd,numerical,446
c78816_max_min_dd,numerical,138
c80048_claim_cnt,numerical,31
c80048_flag,numerical,2
c80048_index_max_dd,numerical,731
c80048_index_min_dd,numerical,732
c80048_max_min_dd,numerical,724
c80050_claim_cnt,numerical,9
c80050_flag,numerical,2
c80050_index_max_dd,numerical,617
c80050_index_min_dd,numerical,640
c80050_max_min_dd,numerical,275
c80051_claim_cnt,numerical,17
c80051_flag,numerical,2
c80051_index_max_dd,numerical,502
c80051_index_min_dd,numerical,572
c80051_max_min_dd,numerical,292
c80053_claim_cnt,numerical,42
c80053_flag,numerical,2
c80053_index_max_dd,numerical,732
c80053_index_min_dd,numerical,732
c80053_max_min_dd,numerical,732
c80061_claim_cnt,numerical,19
c80061_flag,numerical,2
c80061_index_max_dd,numerical,732
c80061_index_min_dd,numerical,732
c80061_max_min_dd,numerical,724
c80076_claim_cnt,numerical,18
c80076_flag,numerical,2
c80076_index_max_dd,numerical,698
c80076_index_min_dd,numerical,721
c80076_max_min_dd,numerical,587
c81000_claim_cnt,numerical,24
c81000_flag,numerical,2
c81000_index_max_dd,numerical,726
c81000_index_min_dd,numerical,728
c81000_max_min_dd,numerical,692
c81001_claim_cnt,numerical,29
c81001_flag,numerical,2
c81001_index_max_dd,numerical,731
c81001_index_min_dd,numerical,732
c81001_max_min_dd,numerical,729
c81002_claim_cnt,numerical,26
c81002_flag,numerical,2
c81002_index_max_dd,numerical,730
c81002_index_min_dd,numerical,732
c81002_max_min_dd,numerical,717
c81003_claim_cnt,numerical,28
c81003_flag,numerical,2
c81003_index_max_dd,numerical,731
c81003_index_min_dd,numerical,732
c81003_max_min_dd,numerical,727
c82040_claim_cnt,numerical,25
c82040_flag,numerical,2
c82040_index_max_dd,numerical,441
